Country Name,Year,Foreign Investment,GNI per Capita,Unemployment Rate,Labor Force participation rate,Economic Index
France,2011,0.33870520817133143,1.5863539819373294e-06,0.24524449220849004,0.43151314248653316,0.07112504404973274
Uzbekistan,2000,0.2975283064469195,1.6468581171093918e-08,0.3282375067168189,0.5347974129389085,0.07106482012340047
France,2010,0.3336072041464773,1.5680953375954644e-06,0.24661472326706071,0.43504422865584524,0.07104740554007344
Ireland,2013,0.36587589854235186,1.549120667985291e-06,0.36633530360021493,0.5375358062947014,0.07082846495346648
Ukraine,2022,0.29652705588740486,1.3497076307613927e-07,0.22972375555664107,0.4351834412367318,0.07074471021014017
Ukraine,2018,0.3010857872044667,9.16512343434792e-08,0.23371843095110154,0.4367737402489774,0.07071968640563901
Saudi Arabia,2010,0.3009936290996894,7.75455365578031e-07,0.14642665233745297,0.34874880645684325,0.07056418146152979
Croatia,2023,0.2995197804054726,7.314198115770624e-07,0.16082751209027404,0.363683859693372,0.07052361327107265
Poland,2009,0.3097640620087178,4.425036158146105e-07,0.21577109081139173,0.41328120777559585,0.07047865084552052
Albania,2019,0.2974668240167655,1.833024686869584e-07,0.30537345513164965,0.5087286288215899,0.07041780879089894
Germany,2005,0.3536926212645134,1.273450939686545e-06,0.29803868887694784,0.47316554668780497,0.0703952704140926
Hungary,2001,0.3002072385168933,1.6575984961340184e-07,0.149677592692101,0.351234979371971,0.07033228406758812
France,2009,0.3139813469027078,1.5720334765711607e-06,0.24239656098871573,0.4367377087574539,0.0702671502607567
Ukraine,2009,0.30088824857356333,9.487334805086713e-08,0.23481998925308972,0.43571081124903166,0.07026703669321875
Malta,2012,0.2995022176331888,7.980101615297466e-07,0.1638097796883396,0.36496297764245944,0.07018126035922362
Georgia,2021,0.2975341734504,1.6468581171093918e-07,0.31410531972058037,0.5159709586178319,0.07012662746739617
Hungary,2007,0.36404527762803074,4.1565266825304435e-07,0.19629231595916172,0.36427837930351115,0.07000194825800708
Latvia,2014,0.2973173131130764,5.438211912802535e-07,0.28871574422353574,0.4894157493649448,0.0698720042501851
Ukraine,2003,0.297680643134865,2.8999023366491467e-08,0.2406501880709296,0.44034085790981303,0.06970621278077488
Belgium,2016,0.35149011969184635,1.549120667985291e-06,0.207684040838259,0.38006017259084435,0.0696250128800357
Lithuania,2014,0.29665777968100854,5.713881641101281e-07,0.284739387426115,0.48402904138216807,0.06952399445339352
Estonia,2011,0.2973883130978147,5.610057977196559e-07,0.32853304674905964,0.5258255715495342,0.06919761677277525
France,2020,0.314888396133359,1.3976813237380578e-06,0.21249328318108546,0.4000036031491523,0.06899160244761113
Romania,2008,0.3094215571073366,3.0932291590924233e-07,0.1527941966684578,0.3411281459996036,0.06860910023842078
Ukraine,2015,0.2961252661478489,9.308328488009607e-08,0.24288017195056422,0.4364134253337416,0.06831922383306281
Slovak Republic,2014,0.2959671246278473,6.505089562582098e-07,0.307254164427727,0.49937845677121795,0.06802189618596105
Slovenia,2013,0.29641488340000693,8.284412354328549e-07,0.2687533584094573,0.46048246167150075,0.06798772321302711
Slovak Republic,2015,0.2977730638045052,6.297442234772653e-07,0.30607200429876413,0.4964599059578071,0.06785520158437086
Cyprus,2015,0.32408612297467754,9.283267603618811e-07,0.4010209564750134,0.578161312987551,0.06783714776335546
Ukraine,2014,0.2971273431832569,1.1957621980750802e-07,0.24637291778613646,0.4363053308591708,0.06769927672104245
Belarus,2001,0.2964069984282344,4.081344029358058e-08,0.30921547555077916,0.4994865512457888,0.06769493538854551
Hungary,2008,0.36798653108007273,4.6863853810786825e-07,0.20733476625470176,0.3617741906426216,0.06768677230486031
