Abhilash Aryal,COO,Responsible for developing and achieving commercial goals that align with the strategic plans of Redistri. Developing and executing marketing efforts in order to achieve commercial goals. Holds bachelor degree in Business Administration from the Hogeschool of Amsterdam (HvA). Recently graduated with a master program of International Management at Northumbria University located in Amsterdam. Previously worked at Rockstart as a start-up scout and at OnGuard Holding as a business development representative.
Lucien van Wouw,CTO,Overall developer of the front and back end of the platform. Managing and developing the needed functionalities and abilities into the platform. Currently has 20+ years of experience with developing a wide variety of applications for different applications within different use cases. Currently works at the International Institute of Social History (IISH) located in Amsterdam. Holds master’s degree development sociology from Leiden University.
Neville Mchina,CEO,"Serial Entrepreneur in the food space, with a passion for farmers and their well-being. The Zimbabwean native was raised on a farm, and went on to study in Agribusiness in Germany. He began his career as a Product Manager for Eosta BV - EU's leading organic trading company before setting up FruitCon B.V [NL], and GreenStone Foods (Pvt) Ltd [ZW]. He has consulted for IESC and the United Nations agribusiness development and food loss and waste. Neville brings his drive, and expertise to the team!"
Jonas Kwaschik,CTO,"A seasoned I.T entrepreneur, Jonas set up his first company at 16 which he later exited during a sale. He has since then set up Sleighdogs GmbH, and built products for Universal Music, Accenture, Mercedes Benz, Sparkasse - to name a few. He has been a product development coach for Google. Jonas steps into Invisible Foods enthusiastic about impact!"
David Oyetunde-Aguilera,Business Development,"David is a food and markets expert who started his career off as a Key-Account Manager for Eosta BV, EU's leading organic trading company. Here he co-handled retail accounts like Aldi South (DE), Netto/Edeka (DE). He went on to become a U.N consultant in the area of food loss and waste. David has also worked for FruitCon B.V as a trading consultant where he had a focus on French and German wholesale. He knows and understands the food industry and joins to tackle the food waste challenge with experience and wit!"
Helena Gebhart,Business Development,"Helena is a young, motivated lady at the footsteps of her career. Coming from a lineage of entrepreneurs, she brings a wealth of expertise in conducting international business, as well as Machine learning and data science - which she carries from her studies. She is simply a doer and will stop at nothing to get the job done!"
Roel van de Weijer,Cash-ew Officer,"10 yrs experience as a entrepreneur and financier 7 yrs in increasing management position worked for Maersk in China, Africa and Western Europe"
Hayo de Feijter,Chief Nut,10 yrs experience as agricultural specialist in Africa and entrepreneur
Brechje Albert-Grollers,Cashew Evangelist,16 yrs experience in bringing sustainable products to the market
Vlado Kysucky,"Co-Founder, CEO","Finance executive and scholar with expertise in applying innovation in financial markets. Multiple innovations include industry-defining market infrastructure solutions and new asset classes for impact finance in Europe and emerging markets. Professor at Audencia BS, Nantes U; PhD Erasmus U; Columbia U, MIT. Two-decades of track-record in financial management $1bn in executed transactions."
Marian Tarnavskyi,"Co-Founder, COO","Operations specialist in banking (ING Group) and asset management (Penta Investments) with proven record of executing technology strategy for dramatic gains in efficiency, advanced analytics, and risk management, leading to market leadership in its segment. MA, Finance, Economics U."
Heather Gates,CEO and Founder,"Being an athlete helped me learn success was more easily and sustainably achieved when you apply the right skills to a common goal. Sports played a significant role in my childhood development as it taught me how to be coached, communication, accountability, empathy, and most importantly....discipline. This transitioned into my professional career as I’ve had the opportunity of managing and consulting on projects in over 25 countries, impacting hundreds of thousands of clients and delivering Billions in value. It was during these projects that consistent themes arose: poor communication, limited accountability, zero alignment and lack of a client first mindset. Like many, I faced these same challenges early in my career. But my breakthrough moment was to approach my projects the same way I trained for sports…align the skills of my teams to a common goal or objective. From there the journey started getting smoother and I ultimately established a reputation as an effective and sought after leader for projects for several years. After a 20-year corporate career of leading global projects, programs and transforming professional services teams, I launched PM Rehab to dedicate the next chapter of my career to develop innovative subscription-based project management services that focus as much on interpersonal skills as project management capabilities."
Tamer Haj,Sales Consultant
Hans Pouwels,Director,"I founded SystemI together with Vincent. We continued to develop the product based on our graduation research. I am 24 years old and currently working in the consultancy world, but I would like to develop SystemI into a company that helps people internationally to think about circularity."
Vincent Schipper,Director
Woroud Almansoure,DGA,"graduated 10 years ago with a Bachelor's degree in business Administration from Aleppo university. She has 5 years of experience in managing at an Exchange Company in Syria ( sort of Bank). She also trained for two months in a food distribution company in the Dutch region of Didam and worked for 8 months as an executive director for a travel and tourism company in Utrecht, Netherlands. Dynamic and motivated professional with a proven record of generating and building relationships. Skilled in building cross-functional teams, demonstrating exceptional communication skills, and making critical decisions during challenges."
Ayham Dayoub,DGA Assistant,"A rising star among local France entrepreneurs. He holds an IT certificate with more than eight years of experience in social projects, an Entrepreneurial spirit, and a personality recognized for his pragmatic approach and his innovative ideas. He is a fantastic Project Manager Assistant, Skills include computer networking, analytical thinking, and creative problem-solving. Able to apply customer service concepts to IT to improve the user experience for clients, employees, and administration."
Rabea Almansoure,Sale's Sections Regulation Division Responsible,"has a long experience in biological agriculture, as he owned his own farm in Syria, in addition to a small cow farm and a point of sale for milk products. Friendly and enthusiastic hard-worker. Able to learn new tasks quickly and proficient in growing key in the sphere of customer relationships. Goal-oriented and dedicated to high levels of customer satisfaction and meeting aggressive business goals."
Nirmen Alahmad,Marketing & Communication Department Responsible,"Has 6 years of experience in customer service, providing high-quality communication to clients, and maintaining their satisfaction level, besides a good experience as a cashier. Moreover, Nermin got an agricultural background and has a fast ability to learn and memorize. Dedicated to work and able to do her tasks under pressure, she believes strongly in our business goals and ethics."
