date,location_key,inc_case,inc_hosp,inc_death,sni_covid19_vaccination,liberalism,children,adult,elderly,new_persons_vaccinated,stringency_index,stringency_category,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,population,PC1,PC2,PC3
2022-01,Utah,251561.0,-0.0295458585989466,-0.3199639529496619,0.0586767525146849,0.0,-0.3197136361403166,-0.4593597175595896,-0.6111655056782795,-0.3885344207093122,-0.536943999961589,1,-0.5421468828202524,-1.2141697080967937,-0.769127428345635,-0.5477238742654759,0.326428272270043,0.7515924892393924,3.0720708254338938,-1.5744149748594423,-0.7448067768337453,0.18023060738244323
2022-02,Utah,46725.0,-0.3296546917947673,-0.3591300681176211,-1.1584079726385608,0.0,-0.3197136361403166,-0.4593597175595896,-0.6111655056782795,-0.4350397607895687,-0.354279442990025,1,0.0141566072492367,-0.9183331335485184,-0.5643259201539139,-0.1893889138887401,1.164700467269512,-0.3038950306301372,3.0720708254338938,-0.27413201821939587,-1.442167866467573,0.4585500698463071
2022-03,Utah,5382.0,-0.4919486144350248,-0.3644024297748464,-1.2264990236879918,0.0,-0.3197136361403166,-0.4593597175595896,-0.6111655056782795,-0.4963193345291507,-0.3758273152568467,1,0.0269375839521842,-1.304694799971421,-0.2575891421904103,-0.1287492421529212,1.4589401087622784,-0.6926513038835789,3.0720708254338938,-0.04840710570377016,-1.7315365784929964,0.7209150222313826
2022-04,Utah,4959.0,-0.5490020599237615,-0.5519478658675742,-1.2495786840094,0.0,-0.3197136361403166,-0.4593597175595896,-0.6111655056782795,-0.4934757807812137,-0.5212754530578924,1,0.2472627621886314,-1.3273270905499253,0.2468202522207309,-0.004048342997532,1.0311529856691577,-1.0248748702318324,3.0720708254338938,0.33876798892164883,-1.2383906042550064,0.7017535910802483
2022-05,Utah,3228.0,-0.5378226685779955,-0.5760500905863183,-1.2613559084799046,0.0,-0.3197136361403166,-0.4593597175595896,-0.6111655056782795,-0.5057720347336607,-0.5212754530578924,1,0.5913522779845939,-0.7886374828194701,0.5918982967780617,0.1092337840794777,0.6294536029175978,-1.251314689979378,3.0720708254338938,0.9258434162702316,-0.6413890325736596,0.608346332332058
2021-01,Vermont,4865.0,-0.5225955665725557,-0.5466755042103488,0.7951921057887967,1.0,-0.7925597226382455,-0.7881121153650177,-0.8276811013377676,-0.4781738959197694,2.7207814950876408,3,-2.3752716735060906,-1.9220127918617516,-1.1039362375917738,-2.368425010172812,-1.1640742746148809,2.8713049868137714,-0.4522715572369002,-4.942797674896998,0.6316367132643449,0.598499935111709
2021-02,Vermont,3267.0,-0.5472673267839012,-0.5624925891820247,1.0315332665787416,1.0,-0.7925597226382455,-0.7881121153650177,-0.8276811013377676,-0.4240689378431265,2.7207814950876408,3,-2.0613236267345862,-1.431910609138268,-0.8819652026316628,-2.302153784554669,-1.170469308676172,2.6855756710320597,-0.4522715572369002,-4.380167427566844,0.8643916233260645,0.6511005922165857
2021-03,Vermont,3525.0,-0.5509295411902728,-0.570777728929093,3.1993114602852266,1.0,-0.7925597226382455,-0.7881121153650177,-0.8276811013377676,-0.3330355990475502,2.6350534011228666,3,-1.189130527355156,-0.8342031564342276,-0.4702567611191538,-2.1974055667744627,-0.8391053808688677,1.7932423864072464,-0.4522715572369002,-3.0123292566303648,0.8719512909826745,0.9848187654884972
2021-04,Vermont,3856.0,-0.5463035861506456,-0.570777728929093,3.250929355289415,1.0,-0.7925597226382455,-0.7881121153650177,-0.8276811013377676,-0.2787235423762191,2.172268435495549,3,-0.9205764316463332,-0.5725375202389036,-0.0371739013999488,-2.185050131782111,-1.3321687688890165,1.4156098530615715,-0.4522715572369002,-2.544489739083409,1.4821547873300984,0.9951773981027822
2021-05,Vermont,1721.0,-0.5617234362827366,-0.5775564796312398,0.965597574760128,1.0,-0.7925597226382455,-0.7881121153650177,-0.8276811013377676,-0.3514943868349816,0.8278993879066469,2,0.0616180905398686,0.2571850178837345,1.2278387420196064,-1.7529696963571155,-1.409654181535538,0.2859732474125154,-0.4522715572369002,-0.5507044317136074,2.1592738696362823,1.2850619793648823
